ANO;CLASE_ACCIDENTE;DIRECCION;DIRECCION ENCASILLADA;DISENO;EXPEDIENTE;FECHA_ACCIDENTE;FECHA_ACCIDENTES;GRAVEDAD_ACCIDENTE;MES;NRO_RADICADO;NUMCOMUNA;BARRIO;COMUNA;LOCATION;X;Y
2019;Otro;CL 77 CR 54;CL  077   054  000 00000;Lote o Predio;A000927152;13/02/2019 15:10;2019-02-13T20:10:00.000Z;Con heridos;2;1659990;4;Moravia;Aranjuez;[-75.5657083123, 6.27232099236];835301.21;1185586.37
2019;Choque;CR 65 CL 25;CR  065   025  000 00000;Tramo de via;A000927164;13/02/2019 16:00;2019-02-13T21:00:00.000Z;Con heridos;2;1660138;15;Trinidad;Guayabal;[-75.5834931629, 6.22657923656];833318.04;1180531.81
2019;Atropello;CR 32 CL 106;CR  032   106  000 00000;Lote o Predio;A000927181;13/02/2019 17:10;2019-02-13T22:10:00.000Z;Con heridos;2;1660126;1;Santo Domingo Savio No. 1;Popular;[-75.5421735175, 6.29340886844];837912.89;1187911.84
2019;Choque;CL 999 CR 999;CL  999   999  000 00000;Tramo de via;A000927178;13/02/2019 17:45;2019-02-13T22:45:00.000Z;Con heridos;2;1660075;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Otro;CR 72 CL 98;CR  072   098  000 00000;Tramo de via;A000927170;13/02/2019 18:00;2019-02-13T23:00:00.000Z;Con heridos;2;1659986;5;Castilla;Castilla;[-75.5740809472, 6.29458955352];834381.45;1188052.46
2019;Atropello;CL 97 CR 51 A;CL  097   051 A  000 00000;Tramo de via;A000927207;13/02/2019 20:15;2019-02-14T01:15:00.000Z;Con heridos;2;1659967;4;San Isidro;Aranjuez;[-75.56148663, 6.28990889457];835774.04;1187530.69
2019;Otro;CL 48 CR 77 B;CL  048   077 B  000 00000;Tramo de via;A000927180;13/02/2019 20:20;2019-02-14T01:20:00.000Z;Con heridos;2;1659971;11;El Estadio;Laureles Estadio;[-75.5951976339, 6.25818794557];832032.37;1184032.25
2019;Choque;CR 36 CL 44;CR  036   044  000 00000;Lote o Predio;A000927205;13/02/2019 21:20;2019-02-14T02:20:00.000Z;Con heridos;2;1660005;9;Gerona;Buenos Aires;[-75.5591739819, 6.23973170335];836014.36;1181979.17
2019;Otro;CL 72 CR 86;CL  072   086  000 00000;Lote o Predio;A000927229;14/02/2019 5:00;2019-02-14T10:00:00.000Z;Con heridos;2;1660209;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Otro;CL 94 CR 50 C;CL  094   050 C  000 00000;Lote o Predio;A000927237;14/02/2019 5:10;2019-02-14T10:10:00.000Z;Con heridos;2;1660102;4;San Isidro;Aranjuez;[-75.5598380926, 6.28602725517];835955.3;1187100.77
2019;Choque;DG 74 CL 32 F;DG  074   032 F  000 00000;Interseccion;A000927223;14/02/2019 5:15;2019-02-14T10:15:00.000Z;Con heridos;2;1660128;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Otro;DG 64 E CR 65;DG  064 E   065  000 00000;Tramo de via;A000927245;14/02/2019 5:30;2019-02-14T10:30:00.000Z;Con heridos;2;1660098;7;Universidad Nacional;Robledo;[-75.5770703369, 6.26708406714];834041.84;1185010.62
2019;Otro;CR 92 CL 34 C;CR  092   034 C  000 00000;Lote o Predio;A000927260;14/02/2019 5:50;2019-02-14T10:50:00.000Z;Con heridos;2;1660101;13;Belencito;San Javier;[-75.6178391614, 6.2447907047];829521.63;1182557.45
2019;Otro;CR 80 CL 54;CR  080   054  000 00000;Lote o Predio;A000927238;14/02/2019 6:00;2019-02-14T11:00:00.000Z;Con heridos;2;1660086;11;Los Colores;Laureles Estadio;[-75.5957070152, 6.26815405236];831979.17;1185134.92
2019;Otro;CR 65 CL 2 A Sur;CR  065  S 002 A  000 00000;Tramo de via;A000927220;14/02/2019 6:30;2019-02-14T11:30:00.000Z;Con heridos;2;1660113;15;Cristo Rey;Guayabal;[-75.5890797023, 6.20736934713];832693.51;1178408.48
2019;Choque;CR 63 CL 75 A;CR  063   075 A  000 00000;Tramo de via;A000927226;14/02/2019 6:40;2019-02-14T11:40:00.000Z;Con heridos;2;1660059;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Caida Ocupante;CR 65 CL 50;CR  065   050  000 00000;Tramo de via;A000927256;14/02/2019 6:40;2019-02-14T11:40:00.000Z;Con heridos;2;1660284;11;Carlos E. Restrepo;Laureles Estadio;[-75.5810614001, 6.25604745596];833596.55;1183790.96
2019;Caida Ocupante;CR 50 CL 3;CR  050   003  000 00000;Lote o Predio;A000927349;14/02/2019 6:45;2019-02-14T11:45:00.000Z;Con heridos;2;1660214;15;Campo Amor;Guayabal;[-75.5791318711, 6.207361772];833794.82;1178404.51
2019;Otro;CL 27 CR 41;CL  027   041  000 00000;Lote o Predio;A000927234;14/02/2019 7:00;2019-02-14T12:00:00.000Z;Con heridos;2;1660083;10;San Diego;La Candelaria;[-75.5672850505, 6.22559110561];835112.04;1180417.41
2019;Caida Ocupante;CL 2 Sur CR 65 A;CL S 002   065 A  000 00000;Tramo de via;A000927255;14/02/2019 7:00;2019-02-14T12:00:00.000Z;Con heridos;2;1660116;15;El Rodeo;Guayabal;[-75.5930216048, 6.20830026606];832257.4;1178512.71
2019;Otro;CL 98 CR 63;CL  098   063  000 00000;Lote o Predio;A000927232;14/02/2019 7:15;2019-02-14T12:15:00.000Z;Con heridos;2;1660104;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Caida Ocupante;CR 80 CL 65;CR  080   065  000 00000;Lote o Predio;A000927242;14/02/2019 7:20;2019-02-14T12:20:00.000Z;Con heridos;2;1660091;7;Facultad de Minas U. Nacional;Robledo;[-75.5931430393, 6.27330476643];832264.64;1185703.9
2019;Caida Ocupante;CR 64 C CL 89;CR  064 C   089  000 00000;Tramo de via;A000927224;14/02/2019 8:00;2019-02-14T13:00:00.000Z;Con heridos;2;1660122;5;Oleoducto;Castilla;[-75.5711742653, 6.28363927679];834699.73;1186840.17
2019;Otro;CL 63 CR 130;CL  063   130  000 00000;Lote o Predio;A000927241;14/02/2019 10:00;2019-02-14T15:00:00.000Z;Con heridos;2;1660205;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Atropello;CL 52 CR 49;CL  052   049  000 00000;Interseccion;A000927358;14/02/2019 12:20;2019-02-14T17:20:00.000Z;Con heridos;2;1660261;10;La Candelaria;La Candelaria;[-75.5665094166, 6.25002467854];835205.54;1183120.11
2019;Choque;CR 64 C CL 67;CR  064 C   067  000 00000;Tramo de via;A000927341;14/02/2019 13:50;2019-02-14T18:50:00.000Z;Con heridos;2;1660255;5;Caribe;Castilla;[-75.5750857694, 6.26472905268];834260.78;1184749.47
2019;Choque;CL 58 CR 57;CL  058   057  000 00000;Tramo de via;A000927346;14/02/2019 14:40;2019-02-14T19:40:00.000Z;Con heridos;2;1660456;10;El Chagualo;La Candelaria;[-75.5718989368, 6.25824699034];834611.51;1184031.39
2019;Otro;CR 43 CL 55;CR  043   055  000 00000;Lote o Predio;A000927363;14/02/2019 15:00;2019-02-14T20:00:00.000Z;Con heridos;2;1660217;10;Boston;La Candelaria;[-75.5610830885, 6.25073570747];835806.45;1183197.07
2019;Choque;CR 64 C CL 75 B;CR  064 C   075 B  000 00000;Tramo de via;A000927362;14/02/2019 15:50;2019-02-14T20:50:00.000Z;Con heridos;2;1660759;5;Caribe;Castilla;[-75.5730795034, 6.27469621751];834486.01;1185851.45
2019;Otro;CR 49 CL 12;CR  049   012  000 00000;Lote o Predio;A000927350;14/02/2019 18:00;2019-02-14T23:00:00.000Z;Con heridos;2;1660108;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Caida Ocupante;CR 63 CL 51;CR  063   051  000 00000;Tramo de via;A000927366;14/02/2019 18:50;2019-02-14T23:50:00.000Z;Con heridos;2;1660111;80;Cabecera San Antonio de Prado;Corregimiento de San Antonio de Prado;[-75.6448250523, 6.17610549407];826511.71;1174967.76
2019;Caida Ocupante;CR 50 CL 47;CR  050   047  000 00000;Tramo de via;A000927378;14/02/2019 19:00;2019-02-15T00:00:00.000Z;Con heridos;2;1660398;10;La Candelaria;La Candelaria;[-75.5687102139, 6.24742814178];834961.1;1182833.56
2019;Atropello;CL 74 CR 49;CL  074   049  000 00000;Tramo de via;A000927368;14/02/2019 19:20;2019-02-15T00:20:00.000Z;Con heridos;2;1660489;4;San Pedro;Aranjuez;[-75.5588349441, 6.26953347965];836061.18;1185275.85
2019;Choque;CR 43 A CL 7 D;CR  043 A   007 D  000 00000;Interseccion;A000927369;14/02/2019 19:50;2019-02-15T00:50:00.000Z;Con heridos;2;1660335;14;El Poblado;El Poblado;[-75.5711941276, 6.20837334334];834673.91;1178513.93
2019;Otro;CR 43 A CL 16;CR  043 A   016  000 00000;Tramo de via;A000927373;14/02/2019 21:30;2019-02-15T02:30:00.000Z;Con heridos;2;1660219;14;Castropol;El Poblado;[-75.5698750745, 6.21667886647];834822.53;1179432.31
2019;Otro;CR 49 CL 23;CR  049   023  000 00000;Tramo de via;A000927374;14/02/2019 21:40;2019-02-15T02:40:00.000Z;Con heridos;2;1660114;14;Barrio Colombia;El Poblado;[-75.5759483681, 6.22586832476];834153.06;1180450.79
2019;Choque;CL 56 CR 31;CL  056   031  000 00000;Tramo de via;A000927377;14/02/2019 22:50;2019-02-15T03:50:00.000Z;Con heridos;2;1660250;8;Sucre;Villa Hermosa;[-75.5517424983, 6.24641886892];836839.1;1182716.62
